id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
14571443,https://github.com/up-for-grabs/up-for-grabs.net,up-for-grabs.net,"This is a list of projects which have curated tasks specifically for new contributors. These issues are a great way to get started with a project, or to help share the load of working on open source projects. Jump in!",5171,1983,4512,5378,436,3829,2024-05-15T14:22:41Z,0,,,1,0,0,0
14812631,https://github.com/mapbox/node-pre-gyp,node-pre-gyp,Node.js tool for easy binary deployment of C++ addons,1098,254,715,1224,63,3514,2023-07-14T13:01:19Z,0,,,2,0,0,0
15246993,https://github.com/shepherd-pro/shepherd,shepherd,Guide your users through a tour of your app,11813,604,2776,2765,99,3801,2024-05-14T00:57:56Z,0,,,7,0,0,0
15573486,https://github.com/wzrdsappr/trading-core,trading-core,Backend core needed for automated trading,73,39,6,15,2,3620,2023-12-01T04:05:28Z,0,,,0,0,0,0
15696040,https://github.com/ibmdb/node-ibm_db,node-ibm_db,IBM DB2 and IBM Informix bindings for node,185,154,996,1071,43,4877,2024-04-15T09:45:43Z,0,,,1,0,0,0
15728293,https://github.com/sandstorm-io/sandstorm,sandstorm,Sandstorm is a self-hostable web productivity suite. It's implemented as a security-hardened web app package manager.,6626,701,3697,8194,102,3694,2024-02-18T21:00:39Z,0,,,3,0,0,0
15900151,https://github.com/patriksimek/vm2,vm2,Advanced vm/sandbox for Node.js,3817,278,532,467,32,3464,2023-07-10T22:41:05Z,0,,,1,0,0,0
16147933,https://github.com/tc39/test262,test262,Official ECMAScript Conformance Test Suite,2178,440,4063,6478,194,4961,2024-05-13T22:35:23Z,0,,,1,0,0,0
16195791,https://github.com/dondi/GRNsight,GRNsight,Web app and service for modeling and visualizing gene regulatory networks.,16,8,1114,3226,27,3742,2024-04-23T09:43:08Z,0,,,1,0,0,0
16602433,https://github.com/1j01/jspaint,jspaint,"🎨 Classic MS Paint, ＲＥＶＩＶＥＤ + ✨Extras",7081,552,338,2607,12,3746,2024-05-11T00:30:29Z,0,,,3,0,0,0
16640012,https://github.com/potree/PotreeConverter,PotreeConverter,Create multi res point cloud to use with potree,618,398,654,470,26,3615,2024-01-02T14:11:34Z,0,,,1,0,0,0
16875250,https://github.com/expressjs/session,session,Simple session middleware for Express,6165,971,773,740,113,3741,2024-05-14T16:19:12Z,0,,,1,0,0,0
16962535,https://github.com/dynamoose/dynamoose,dynamoose,Dynamoose is a modeling tool for Amazon's DynamoDB,2126,357,1569,3955,127,3715,2024-04-21T18:24:24Z,0,,,6,0,0,0
17203748,https://github.com/dexie/Dexie.js,Dexie.js,A Minimalistic Wrapper for IndexedDB,10640,616,1915,2456,83,3725,2024-05-09T10:51:29Z,0,,,9,0,0,0
18307175,https://github.com/jwplayer/jwplayer,jwplayer,JW Player is the world's most popular embeddable media player.,2477,969,4019,10251,66,4046,2023-05-15T20:28:55Z,0,,,1,0,0,0
