id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
186109349,https://github.com/ownstats/ownstats,ownstats,"Host your own website statistics on AWS via CloudFront, S3, Glue and Athena. Use the analytics tool of your choice",45,4,9,60,-1,1469,2023-05-19T12:51:21Z,3,aws,aws_cloudformation_and_sam;serverless,1,0,3,0
191229076,https://github.com/awslabs/aws-sync-routes,aws-sync-routes,Synchronizes the specified route from the main/default route table to all custom route tables in the VPC.,17,15,19,104,3,1753,2024-03-28T18:18:10Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
192655573,https://github.com/samvera/serverless-iiif,serverless-iiif,IIIF Image API 2.1 & 3.0 server in an AWS Serverless Application,67,21,139,210,12,1742,2024-03-25T21:31:59Z,3,aws,aws_cloudformation_and_sam,3,0,0,0
193235025,https://github.com/airqo-platform/AirQo-api,AirQo-api,This repo contains API definitions for the AirQo platform,20,16,3183,16755,25,1788,2024-05-14T23:02:11Z,3,firebase,firebase,8,0,0,1
196472570,https://github.com/FormidableLabs/badges,badges,More advanced badges for your projects using Travis or Sauce Labs.,5,1,116,162,10,3073,2024-04-23T16:47:56Z,1,aws,serverless,1,0,1,0
199078599,https://github.com/ApayRus/frazy,frazy,Educational player with phrasal playback and parallel multi-language subtitles. Online subtitles/captions editor. ,16,4,85,502,2,1676,2024-02-18T10:58:54Z,1,firebase,firebase,2,0,0,1
202357619,https://github.com/newrelic/nr1-cloud-optimize,nr1-cloud-optimize,"NR1 Cloud Optimize allows you to Identify right-sizing opportunities and potential savings of your AWS, GCP, and Azure instances across your cloud environment.",48,37,154,350,25,1705,2024-04-26T04:16:11Z,3,aws,serverless,3,0,2,0
206008476,https://github.com/GoogleCloudPlatform/datashare-toolkit,datashare-toolkit,DIY commercial datasets on Google Cloud Platform,85,24,702,380,7,1173,2023-01-09T19:11:43Z,1,gcp,gcp_functions;terraform,5,0,0,1
210032866,https://github.com/ubc-biztech/bt-web,bt-web,BizTech's React web app for admins to manage events and members.,5,0,571,1824,29,1643,2024-03-22T01:10:39Z,4,firebase;aws,aws_cloudformation_and_sam;firebase,1,0,0,0
214610929,https://github.com/netnr/workers,workers,Cloudflare Workers,318,121,20,57,2,1572,2024-01-31T07:51:44Z,2,cloudflare,wrangler,1,0,0,0
